"filename", "language", "Markdown", "JSON", "YAML", "Go Checksum File", "Go", "JavaScript", "HTML", "Go Module File", "TypeScript", "TypeScript JSX", "SCSS", "Ignore", "JSON with Comments", "Properties", "XML", "comment", "blank", "total"
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Processes/ProcessesPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 520, 0, 0, 0, 0, 0, 92, 612
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Processes/ProcessesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 539, 0, 0, 0, 0, 0, 2, 48, 589
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Runbooks/RunbookDetailPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 3, 39
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Runbooks/RunbookDetailPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 18, 213
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Runbooks/RunbooksPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 29, 216
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Runbooks/RunbooksPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 11, 158
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Secrets/SecretsPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 28, 211
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Secrets/SecretsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 317, 0, 0, 0, 0, 0, 0, 20, 337
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/ServerPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 318, 0, 0, 0, 0, 0, 47, 365
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/ServerPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 237, 0, 0, 0, 0, 0, 1, 17, 255
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Services/ServicesPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 32, 225
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Services/ServicesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 378, 0, 0, 0, 0, 0, 0, 21, 399
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Terminal/Terminal.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Terminal/Terminal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 262, 0, 0, 0, 0, 0, 18, 27, 307
"/home/server/NovexPanel/frontend/src/Pages/Settings/SettingsPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 25, 177
"/home/server/NovexPanel/frontend/src/Pages/Settings/SettingsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 215, 0, 0, 0, 0, 0, 0, 13, 228
"/home/server/NovexPanel/frontend/src/Store/AgentTokenStore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"/home/server/NovexPanel/frontend/src/Store/DeployStore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/home/server/NovexPanel/frontend/src/Store/GitHubStore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 7, 58
"/home/server/NovexPanel/frontend/src/Store/GlobalStore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/home/server/NovexPanel/frontend/src/Store/RefreshStore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"/home/server/NovexPanel/frontend/src/Store/RunbooksStore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 16, 154
"/home/server/NovexPanel/frontend/src/Store/ServerMetricsStore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 8, 62
"/home/server/NovexPanel/frontend/src/Store/ServerStore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 3, 13
"/home/server/NovexPanel/frontend/src/Store/SettingsStore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 2, 27, 161
"/home/server/NovexPanel/frontend/src/Store/ToastStore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 10, 36
"/home/server/NovexPanel/frontend/src/Store/TokenStore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"/home/server/NovexPanel/frontend/src/Store/WorkspaceSettingsStore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 4, 40
"/home/server/NovexPanel/frontend/src/Styles/Variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 32, 39, 138
"/home/server/NovexPanel/frontend/src/Styles/app.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 5, 23, 162
"/home/server/NovexPanel/frontend/src/assets/react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/server/NovexPanel/frontend/src/assets/vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/home/server/NovexPanel/frontend/src/common/AuthBtns/AuthBtns.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 8, 67
"/home/server/NovexPanel/frontend/src/common/AuthBtns/AuthBtns.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"/home/server/NovexPanel/frontend/src/common/DeployLoader/DeployLoader.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 0, 17, 38, 263
"/home/server/NovexPanel/frontend/src/common/DeployLoader/DeployLoader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 4, 5, 40
